🎵酷狗音乐🎵,#genre#
「十跪爹娘-赵真」,https://mvwebfs.hw.kugou.com/202407051158/f81aff3732da5ca1e7d87d83c8754ede/v2/8159519d7bf7e61209d49d6b1426b410/G114/M04/02/09/UpQEAFmK0amAdBILCTPIFqtvFrQ843.mp4
《踮起脚尖瞭远方》_马美如,https://mvwebfs.hw.kugou.com/202407051221/1135c15f34081fe79a1061b2db963978/KGTX/CLTX002/0c8d47a09413ba8bdeeabfd605d92183.mp4

🇮🇳印度电影🇮🇳,#genre#
《小萝莉猴神大叔》,http://ottvideotx.hifuntv.com/internettv/c1/2021/07/09/04313B562AD99E22F7E4445348421F34.ts?pm=fOVgd1YnPdKVCcQuqzu5PMOGcuizlPRcMHLVlTS1Dwevy1WCCKV2QSRpAB77iO61_A4eIVgt5WsrQry4fYCfW_1VnfMeL474NuJIUn~W8qhxCGvVqw_mx__jSR06EDV2tIttEBCLt47~mHP_3AdignTvQEhqib33P_BojggBEH8ySGwh52CglB~rEQXQZ7U7BQ9IGqkpqstzfmCInH3MKHM1N8TAIj59_4B8Yt~W2WxI5pDCcrTL7mPNHkXSUGVI~3tM7C9iC34wKd2HNXxt8qLuRAtcNFjWFwvnE6Wx7eYuR3H582W~KGQyjCjbNF1Ku252eh08I3SpoTJH~YcQPEXsFcDNJuvZ&version=imgotv-aphone-7.0.4&did=20a57b16b479e95d758a90cfe3202edf&cpno=6r25po&ruid=349715b8785a462a&sh=1
《功夫小蝇》,https://vip.ffzy-play7.com/20230129/12677_653c2434/index.m3u8
《24 逆转时空》,https://vip.ffzy-play7.com/20221224/9604_cc5d3b23/index.m3u8
《神秘巨星2017》,http://ottvideoyd.hifuntv.com/internettv/c1/2021/04/19/CC387D599CFDFB402799F1765831905B.ts?pm=1OhgxNkgD1ElMzgDyQ836sVym1f8dAfA~qa_3QR_FupcplL0YH85lnD7kiGIQpQfGgja6k~jCVXf8TO6HhIOBP79QSVcbTCeOxVKuHnFt3JnQDIfLKB8rCgttNXpbIkD82AYwutHJvWPi6G_23oVTgIbH4xd1H9Y5IQs0Xi6Pvb4_LGHYOIILIrsYS~3rcJsSJP8q1gbns9OwsWN1pEQj5rpmMSvHZPEfI~987bm0ft74iHraGteWzmNK1Izk_0POFCAmzr~sZtdMtoI065A7DVAJfGL_RGDU0rKcDlY_b6BkVaeXHOH4_s1PjE_yS8xHrHUCqlNqw9BeeKMjAycpqvyQJ3mOEQY&version=imgotv-aphone-7.0.4&did=20a57b16b479e95d758a90cfe3202edf&cpno=6r25po&ruid=c13bc3eba555473a&sh=1
《为爱毁灭2016》,https://vip.ffzy-play7.com/20230504/23947_a466dbef/index.m3u8
《摔跤吧爸爸2016》,https://vv.jisuzyv.com/play/xe7JG3rd/index.m3u8
《我的个神啊国语2014》,https://vip.lz-cdn.com/20220907/32074_8b0a0a2b/index.m3u8
《幻影车神2013》,http://tvbox-xg:ftp://a.gbl.114s.com:20320/2513/%E5%B9%BB%E5%BD%B1%E8%BD%A6%E7%A5%9E：%E9%AD%94%E7%9B%97%E6%BF%80%E6%83%85_BD%E4%B8%AD%E5%AD%97.mp4
《三傻大闹宝莱坞2009》,http://tvbox-xg:ftp://a.gbl.114s.com:20320/5732/%E4%B8%89%E5%82%BB%E5%A4%A7%E9%97%B9%E5%AE%9D%E8%8E%B1%E5%9D%9E-2009_BD%E5%8D%B0%E5%9B%BD%E5%8F%8C%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4
《未知死亡2008》,http://tvbox-xg:ftp://a.gbl.114s.com:20320/3151/%E6%9C%AA%E7%9F%A5%E6%AD%BB%E4%BA%A1-2008_BD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4
《地球上的星星2007》,http://tvbox-xg:ftp://a.gbl.114s.com:20320/2567/%E5%9C%B0%E7%90%83%E4%B8%8A%E7%9A%84%E6%98%9F%E6%98%9F_BD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4

♈达州IPTV♈,#genre#
开江新闻综合,https://lmt.kjzx.net:98/live1/live1.m3u8
开江新闻综合,https://lmt.kjzx.net:98/live1/live1.m3u8
达州公共频道,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州通川频道,http://tv.drs.dzxw.net/channellive/tcpd-dz3.flv
达州新闻综合,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
渠县城市公共,http://222.208.224.227:81/hls/8ishqdtt.m3u8
渠县新闻综合,http://222.208.224.227:81/hls/cfp2p8m3.m3u8
渠县新闻综合,http://222.208.224.227:81/hls/cfp2p8m3.m3u8?zsicd
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd
万州科教,http://123.146.162.24:8013/tslslive/URetCnP/hls/live_sd.m3u8
万州科教频道,http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
万州科教频道,http://wanzhoulive.cbg.cn:8017/Cz7WPb8/800/live.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8?zzhongqd
万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8?zzhongqd
万州综合频道,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州综合频道,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8

CCTV央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


CCTV1,http://180.141.28.176:4022/rtp/239.81.0.102:4056?Cf=cfss.cc
CCTV1,http://180.141.28.176:4022/rtp/239.81.0.13:4056?Cf=cfss.cc
CCTV2,http://180.141.28.176:4022/rtp/239.81.0.115:4056?Cf=cfss.cc
CCTV2,http://180.141.28.176:4022/rtp/239.81.0.14:4056?Cf=cfss.cc
CCTV3,http://180.141.28.176:4022/rtp/239.81.0.231:4056?Cf=cfss.cc
CCTV4,http://180.141.28.176:4022/rtp/239.81.0.96:4056?Cf=cfss.cc
CCTV4,http://180.141.28.176:4022/rtp/239.81.0.16:4056?Cf=cfss.cc
CCTV5,http://180.141.28.176:4022/rtp/239.81.0.232:4056?Cf=cfss.cc
CCTV6,http://180.141.28.176:4022/rtp/239.81.0.233:4056?Cf=cfss.cc
CCTV7,http://180.141.28.176:4022/rtp/239.81.0.116:4056?Cf=cfss.cc
CCTV8,http://180.141.28.176:4022/rtp/239.81.0.234:4056?Cf=cfss.cc
CCTV9,http://180.141.28.176:4022/rtp/239.81.0.117:4056?Cf=cfss.cc
CCTV10,http://180.141.28.176:4022/rtp/239.81.0.118:4056?Cf=cfss.cc
CCTV11,http://180.141.28.176:4022/rtp/239.81.0.229:4056?Cf=cfss.cc
CCTV12,http://180.141.28.176:4022/rtp/239.81.0.119:4056?Cf=cfss.cc
CCTV13,http://180.141.28.176:4022/rtp/239.81.0.26:4056?Cf=cfss.cc
CCTV14,http://180.141.28.176:4022/rtp/239.81.0.120:4056?Cf=cfss.cc
CCTV15,http://180.141.28.176:4022/rtp/239.81.0.230:4056?Cf=cfss.cc
CCTV17,http://180.141.28.176:4022/rtp/239.81.0.228:4056?Cf=cfss.cc




CCTV1,http://113.15.185.31:8181/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://113.15.185.31:8181/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://113.15.185.31:8181/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://113.15.185.31:8181/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://113.15.185.31:8181/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://113.15.185.31:8181/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://113.15.185.31:8181/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://113.15.185.31:8181/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://113.15.185.31:8181/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://113.15.185.31:8181/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://113.15.185.31:8181/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://113.15.185.31:8181/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://113.15.185.31:8181/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://113.15.185.31:8181/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://113.15.185.31:8181/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://113.15.185.31:8181/tsfile/live/1021_1.m3u8?key=txiptv
CCTV17,http://113.15.185.31:8181/tsfile/live/0019_1.m3u8?key=txiptv







CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y
